country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label
TH,NA,Rajaphat Yala University,6.549012748332888,101.2896306111374,PM1,airgradient,µg/m³,11.125,2024-03-09T19:00:00Z,Thailand,Rajaphat Yala University
TH,NA,"Srikranuanwittayakom school 1, Kranuan, Khon Kaen",16.721984416175946,103.08173493955674,PM2.5,airgradient,µg/m³,55.722222010294594,2024-03-19T09:00:00Z,Thailand,"Srikranuanwittayakom school 1, Kranuan, Khon Kaen"
TH,Chiang Rai,"Natural Resources and Environment Office, Chiangrai",19.909217,99.823467,O3,Air4Thai,ppm,0.035,2024-01-12T16:00:00Z,Thailand,Chiang Rai
TH,Lampang,Health Promotion Hospital Banthasri,18.4267833,99.7576333,NO2,Air4Thai,ppm,0.017,2022-04-26T04:00:00Z,Thailand,Lampang
TH,Bangkok,Queen Sirikit Park,13.8055472,100.5488338,PM2.5,Air4Thai,µg/m³,27.4,2024-03-19T08:00:00Z,Thailand,Bangkok
TH,Loei,"60th Anniversary Queen Sirikit Public Park, Loei",17.48462,101.732734,CO,Air4Thai,ppm,0.7,2024-03-19T08:00:00Z,Thailand,Loei
TH,Bangkok,Bangkok Noi Train Police Station,13.759619,100.481137,PM2.5,Air4Thai,µg/m³,28.2,2024-03-14T03:00:00Z,Thailand,Bangkok
TH,Rayong,"Field Crop Research Center, Rayong",12.73518333,101.13565,SO2,Air4Thai,ppm,0,2023-05-08T07:00:00Z,Thailand,Rayong
TH,NA,"Tha Pradu, Mueng",12.680918537711,101.27357778829,NO2,Thailand,ppm,0.011,2020-09-23T04:00:00Z,Thailand,"Tha Pradu, Mueng"
TH,NA,"Nai Mueang, Mueang",18.564721437399,99.011144750057,NO2,Thailand,ppm,0.008,2020-09-23T04:00:00Z,Thailand,"Nai Mueang, Mueang"
TH,NA,"Nai Mueang, Mueang",18.564721437399,99.011144750057,O3,Thailand,ppm,0.03,2020-09-23T04:00:00Z,Thailand,"Nai Mueang, Mueang"
TH,NA,"Pak Nam Pho, Mueang",15.707848227166,100.1319285287,SO2,Thailand,ppm,0.001,2020-09-23T04:00:00Z,Thailand,"Pak Nam Pho, Mueang"
TH,NA,"Mae Mo, Mae Mo",18.279680637193,99.663144703624,NO2,Thailand,ppm,0.004,2020-09-23T04:00:00Z,Thailand,"Mae Mo, Mae Mo"
TI,N/A,Dushanbe,38.557671,68.775917,PM2.5,AirNow,µg/m³,14,2023-05-30T23:00:00Z,NA,N/A
TR,Ankara,Ankara - Demetevler,39.9677388866755,32.7956697288361,SO2,Turkiye,µg/m³,13.185,2023-05-31T00:00:00Z,Turkey,Ankara
TR,Ankara,Ankara - Sincan,39.953072,32.581754,SO2,Turkiye,µg/m³,4.77,2023-05-31T00:00:00Z,Turkey,Ankara
TR,Adana,Adana - Meteoroloji,37.0040545100691,35.3440100793125,NO2,Turkiye,µg/m³,58.504,2023-01-27T19:00:00Z,Turkey,Adana
TR,Amasya,Amasya - Şehzade,40.6572237456913,35.8379605214598,CO,Turkiye,µg/m³,869.586,2023-05-31T00:00:00Z,Turkey,Amasya
TR,İstanbul,İstanbul - Alibeyköy,41.057672,28.945682,O3,Turkiye,µg/m³,8.313,2023-05-29T09:00:00Z,Turkey,İstanbul
TR,Zonguldak,Zonguldak - Karadeniz Ereğli,41.276467,31.433419,SO2,Turkiye,µg/m³,13.377,2023-05-31T00:00:00Z,Turkey,Zonguldak
TR,Balıkesir,Balıkesir - Bandırma-MTHM,40.348103,27.97499,O3,Turkiye,µg/m³,17.282,2022-11-11T02:00:00Z,Turkey,Balıkesir
TR,Kocaeli,Kocaeli - Gölcük-MTHM,40.72597,29.79463,SO2,Turkiye,µg/m³,81.377,2023-05-31T00:00:00Z,Turkey,Kocaeli
TR,İstanbul,İstanbul - Başakşehir-MTHM,41.09552,28.78986,NO2,Turkiye,µg/m³,8.229,2023-05-31T00:00:00Z,Turkey,İstanbul
TR,İstanbul,İstanbul - Ümraniye-MTHM,41.02442,29.09973,CO,Turkiye,µg/m³,4208.74,2022-04-13T06:00:00Z,Turkey,İstanbul
TR,Çanakkale,Çanakkale - Lapseki-MTHM,40.40307,26.77063,NO2,Turkiye,µg/m³,44.838,2023-05-31T00:00:00Z,Turkey,Çanakkale
TR,Bolu,Bolu - Karaçayır Parkı,40.726222,31.604888,O3,Turkiye,µg/m³,47.051,2023-05-31T00:00:00Z,Turkey,Bolu
TR,Zonguldak,Zonguldak - Çatalağzı Cumayanı,41.4964583,31.8801892,O3,Turkiye,µg/m³,31.283,2023-05-31T00:00:00Z,Turkey,Zonguldak
TR,Ankara,Ankara - Siteler,39.96458,32.90718,CO,Turkiye,µg/m³,1270.681,2023-05-31T00:00:00Z,Turkey,Ankara
TR,Aydın,Aydın - Söke,37.75257,27.41141,CO,Turkiye,µg/m³,2832.949,2023-05-31T00:00:00Z,Turkey,Aydın
TR,İstanbul,İstanbul - Bağcılar,41.031781790809,28.8428478152733,CO,Turkiye,µg/m³,449.137,2023-05-31T00:00:00Z,Turkey,İstanbul
TR,Ankara,Ankara - Etimesgut,39.939805,32.640034,SO2,Turkiye,µg/m³,14.3,2023-05-31T00:00:00Z,Turkey,Ankara
TR,Denizli,Denizli - Sümer,37.8070317617607,29.1549989242898,O3,Turkiye,µg/m³,3.647,2023-05-31T00:00:00Z,Turkey,Denizli
TR,Manisa,Manisa - Alaşehir,38.350399,28.516647,PM2.5,Turkiye,µg/m³,34,2023-05-30T21:00:00Z,Turkey,Manisa
TR,Düzce,Düzce,40.8414640417703,31.1389052309386,NO2,Turkiye,µg/m³,20.643,2023-05-31T00:00:00Z,Turkey,Düzce
TR,Yozgat,Yozgat,39.818288893476,34.8057405185279,SO2,Turkiye,µg/m³,4.973,2023-05-31T00:00:00Z,Turkey,Yozgat
TR,Tekirdağ,Tekirdağ,40.9764505263508,27.5127312599115,SO2,Turkiye,µg/m³,10.817,2023-05-31T00:00:00Z,Turkey,Tekirdağ
TR,İzmir,İzmir - Ödemiş,38.229481,27.974401,NO2,Turkiye,µg/m³,25.84,2023-05-31T00:00:00Z,Turkey,İzmir
TR,Kütahya,Kütahya - Tavşanlı,39.542147,29.492406,CO,Turkiye,µg/m³,726.274,2023-05-31T00:00:00Z,Turkey,Kütahya
TR,Kocaeli,Kocaeli,40.765823,29.951258,PM2.5,Turkiye,µg/m³,28.336,2023-05-31T00:00:00Z,Turkey,Kocaeli
TR,İzmir,İzmir - Eğitim İstasyonu,38.422,27.19986,CO,Turkiye,µg/m³,920.905,2023-05-31T00:00:00Z,Turkey,İzmir
TR,Manisa,Manisa - Turgutlu (Yeni),38.5001616927897,27.7090709112217,CO,Turkiye,µg/m³,3252.934,2023-05-31T00:00:00Z,Turkey,Manisa
TR,Karaman,Karaman - Ermenek,36.640537,32.884881,NO2,Turkiye,µg/m³,13.461,2023-05-31T00:00:00Z,Turkey,Karaman
TR,Ankara,EMEP - Ankara Çubuk,40.2897905275791,33.0129439615596,CO,Turkiye,µg/m³,1035056,2022-10-28T10:00:00Z,Turkey,Ankara
TR,Kayseri,Kayseri - OSB,38.740437,35.375453,PM2.5,Turkiye,µg/m³,9.808,2023-05-31T00:00:00Z,Turkey,Kayseri
TR,Düzce,Düzce - Belediye,40.838619,31.162742,SO2,Turkiye,µg/m³,10.86,2023-05-31T00:00:00Z,Turkey,Düzce
TR,Zonguldak,Zonguldak - Trafik,41.452222,31.787185,PM2.5,Turkiye,µg/m³,14.265,2023-05-31T00:00:00Z,Turkey,Zonguldak
TR,Aydın,Aydın - Didim,37.3597994901874,27.2087507112144,NO2,Turkiye,µg/m³,5.07,2023-05-31T00:00:00Z,Turkey,Aydın
TR,İzmir,İzmir - Aliağa - Bozköy,38.7244762072335,26.959128046627,CO,Turkiye,µg/m³,1447.862,2023-05-31T00:00:00Z,Turkey,İzmir
TR,İzmir,İzmir - Aliağa - Bozköy,38.7244762072335,26.959128046627,SO2,Turkiye,µg/m³,6.16,2023-05-31T00:00:00Z,Turkey,İzmir
TR,Bolu,Bolu - Abant,40.603542,31.259354,CO,Turkiye,µg/m³,99.273,2023-05-31T00:00:00Z,Turkey,Bolu
TR,Kastamonu,Kastamonu - Azdavay,41.682081395105,33.4935904030351,O3,Turkiye,µg/m³,37.624,2023-05-31T00:00:00Z,Turkey,Kastamonu
TR,İzmir,İzmir - Karabağlar,38.38233,27.10673,O3,Turkiye,µg/m³,12.912,2023-05-31T00:00:00Z,Turkey,İzmir
TR,Sakarya,Sakarya - Hendek OSB - MTHM,40.754833,30.650194,SO2,Turkiye,µg/m³,6.617,2023-05-31T00:00:00Z,Turkey,Sakarya
TR,Bursa,Bursa-Kestel (Hilal Parkı),40.1935753219587,29.218648507874,PM2.5,Turkiye,µg/m³,29.106,2023-05-31T00:00:00Z,Turkey,Bursa
TR,Bursa,Bursa-Nilüfer,40.2099231544097,28.9628083316992,NO2,Turkiye,µg/m³,16.58,2023-03-28T01:00:00Z,Turkey,Bursa
TR,Hatay,Hatay - Vali Kavşağı,36.208363,36.1591205029142,PM2.5,Turkiye,µg/m³,351.45,2023-02-07T05:00:00Z,Turkey,Hatay
TR,Ağrı,TR,39.7205260362901,43.0402700126593,SO2,Turkiye,µg/m³,23.666,2022-12-20T06:00:00Z,Turkey,Ağrı
TR,Ankara,Keçiören,39.967261926547,32.8628299146524,NO2,Turkey,µg/m³,47,2018-10-13T21:00:00Z,Turkey,Ankara
TR,Ankara,Keçiören,39.967261926547,32.8628299146524,O3,Turkey,µg/m³,36,2018-10-13T21:00:00Z,Turkey,Ankara
TR,Kahramanmaraş,Elbistan,38.2038482508205,37.1983477297733,SO2,Turkey,µg/m³,42,2017-07-20T21:00:00Z,Turkey,Kahramanmaraş
TR,Aydın,Nazilli,NA,NA,NO2,Turkey,µg/m³,31,2016-12-11T11:00:00Z,Turkey,Aydın
TT,Arima,Arima,10.64849,-61.2844,PM2.5,trinidad-tobago,µg/m³,4.31333333333333,2023-05-30T23:00:00Z,Trinidad and Tobago,Arima
TT,Couva,Point Lisas,10.41603,-61.47468,O3,trinidad-tobago,µg/m³,9.49666666666667,2023-05-30T23:00:00Z,Trinidad and Tobago,Couva
TT,Port of Spain,Port of Spain,10.64256,-61.49406,NO2,trinidad-tobago,µg/m³,11.8305714285714,2023-05-28T11:00:00Z,Trinidad and Tobago,Port of Spain
TW,高雄市,Daliao,22.564136,120.425311,PM2.5,Taiwan,µg/m³,8,2021-05-17T05:00:00Z,"Taiwan, China",高雄市
TW,新北市,Wanli,25.179667,121.689881,NO2,Taiwan,ppm,0.0032,2021-05-17T05:00:00Z,"Taiwan, China",新北市
TW,雲林縣,Taixi,23.717533,120.202842,PM2.5,Taiwan,µg/m³,6,2021-05-17T05:00:00Z,"Taiwan, China",雲林縣
TW,新北市,Banqiao,25.012972,121.458667,NO2,Taiwan,ppm,0.0108,2021-05-17T05:00:00Z,"Taiwan, China",新北市
TW,南投縣,Puli,23.968842,120.967903,PM2.5,Taiwan,µg/m³,10,2021-05-17T05:00:00Z,"Taiwan, China",南投縣
TW,高雄市,Xiaogang,22.565833,120.337736,NO2,Taiwan,ppm,0.0063,2021-05-17T05:00:00Z,"Taiwan, China",高雄市
TW,嘉義縣,Xingang,23.554839,120.345531,CO,Taiwan,ppm,0.13,2021-05-17T05:00:00Z,"Taiwan, China",嘉義縣
TW,彰化縣,Changhua,24.066,120.541519,PM2.5,Taiwan,µg/m³,12,2021-05-17T05:00:00Z,"Taiwan, China",彰化縣
TW,花蓮縣,Hualien,23.971306,121.599769,CO,Taiwan,ppm,0.11,2021-05-17T05:00:00Z,"Taiwan, China",花蓮縣
TW,苗栗縣,Toufen,24.696969,120.898572,NO2,Taiwan,ppm,6e-4,2021-05-17T05:00:00Z,"Taiwan, China",苗栗縣
TW,新北市,Cailiao,25.06895,121.481028,PM2.5,Taiwan,µg/m³,18,2021-05-17T05:00:00Z,"Taiwan, China",新北市
TW,臺北市,Guting,25.020608,121.529556,SO2,Taiwan,ppm,0.0042,2021-05-17T05:00:00Z,"Taiwan, China",臺北市
US,Spokane,Spokane-E Broadway A,47.663962,-117.25765,PM2.5,AirNow,µg/m³,3,2023-05-30T23:00:00Z,United States,Spokane
US,Anchorage,Garden,61.205861,-149.8246,PM2.5,AirNow,µg/m³,2,2023-05-30T23:00:00Z,United States,Anchorage
US,Phoenix-Mesa-Scottsdale,Glendale Community C,33.5694,-112.1915,O3,AirNow,ppm,0.044,2023-05-30T23:00:00Z,United States,Phoenix-Mesa-Scottsdale
US,Providence-New Bedford-Fall River,E Providence,41.840302,-71.361702,NO2,AirNow,ppm,0.001,2023-05-30T23:00:00Z,United States,Providence-New Bedford-Fall River
US,Corning,Pinnacle State Park,42.0972,-77.2103,SO2,AirNow,ppm,0,2023-05-30T23:00:00Z,United States,Corning
US,Fresno,Clovis - N. Villa Av,36.819199,-119.7164,CO,AirNow,ppm,0.2,2023-05-30T23:00:00Z,United States,Fresno
US,CODINGTON,Watertown,44.89965,-97.128802,PM2.5,AirNow,µg/m³,11.7,2023-05-30T23:00:00Z,United States,CODINGTON
US,Hartford-West Hartford-East Hartford,Stafford,41.9756,-72.3867,O3,AirNow,ppm,0.048,2023-05-30T23:00:00Z,United States,Hartford-West Hartford-East Hartford
US,Portland-South Portland-Biddeford,Portland - Deering O,43.660248,-70.268967,SO2,AirNow,ppm,0.001,2021-03-04T13:00:00Z,United States,Portland-South Portland-Biddeford
US,Lima,Lima,40.771,-84.0539,PM2.5,AirNow,µg/m³,4.9,2023-05-30T23:00:00Z,United States,Lima
US,Boise City-Nampa,St. Lukes Meridian,43.600699,-116.347853,NO2,AirNow,ppm,0.004,2023-05-30T23:00:00Z,United States,Boise City-Nampa
US,VAN BUREN,Lake Sugema,40.693298,-92.006104,SO2,AirNow,ppm,1e-4,2023-05-30T23:00:00Z,United States,VAN BUREN
US,Evansville,Evansville-Buena Vis,38.01325,-87.577923,O3,AirNow,ppm,0.047,2023-05-30T23:00:00Z,United States,Evansville
US,GARRETT,Piney Run,39.705799,-79.011902,SO2,AirNow,ppm,2e-4,2023-05-30T23:00:00Z,United States,GARRETT
US,Birmingham-Hoover,HELENA,33.3169,-86.825,O3,AirNow,ppm,0.03,2023-05-30T23:00:00Z,United States,Birmingham-Hoover
US,Hilo,Kona,19.5097,-155.9133,SO2,AirNow,ppm,0.001,2023-05-30T23:00:00Z,United States,Hilo
US,Gulfport-Biloxi,GPORT YC,30.390123,-89.049746,O3,AirNow,ppm,0.062,2023-05-30T23:00:00Z,United States,Gulfport-Biloxi
