country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
MX,GUANAJUATO,Estaci�n DIF,20.558153,-101.20485,PM2.5,AirNow,µg/m³,108.7,2024-03-08T06:00:00Z,Mexico,GUANAJUATO,108.7,2000,FALSE,3,TRUE,2024
RS,Beograd,Beograd Borča,44.873952,20.446585,CO,serbia,µg/m³,1414.2468450000001,2023-06-14T21:00:00Z,Serbia,Beograd,1414.2468450000001,60000,FALSE,6,TRUE,2023
TR,Balıkesir,Balıkesir - Bandırma-MTHM,40.348103,27.97499,SO2,Turkiye,µg/m³,53.487,2023-05-31T00:00:00Z,Turkey,Balıkesir,53.487,3000,FALSE,5,TRUE,2023
TR,Tekirdağ,Tekirdağ - Çerkezköy-MTHM,41.31835,27.98018,SO2,Turkiye,µg/m³,48.764,2023-05-31T00:00:00Z,Turkey,Tekirdağ,48.764,3000,FALSE,5,TRUE,2023
US,FRA,MMFRA1001,39.396544,-121.143601,PM2.5,AirNow,µg/m³,110,2020-08-21T19:00:00Z,United States,FRA,110,2000,FALSE,8,TRUE,2020
XK,Mitrovica,Mitrovica,42.891794,20.868936,SO2,Kosovo,µg/m³,23.7,2023-05-25T22:00:00Z,NA,Mitrovica,23.7,3000,FALSE,5,TRUE,2023
ZA,Gert Sibande,Embalenhle,-26.551427,29.112381,PM2.5,South Africa,µg/m³,107.065,2022-05-25T18:00:00Z,South Africa,Gert Sibande,107.065,2000,FALSE,5,TRUE,2022
ZA,City of Tshwane,Rosslyn-NAQI,-25.625126,28.09474,PM2.5,South Africa,µg/m³,124.957,2023-05-30T23:00:00Z,South Africa,City of Tshwane,124.957,2000,FALSE,5,TRUE,2023
ZA,Gert Sibande,Balfour,-26.662851,28.584703,PM2.5,South Africa,µg/m³,103,2022-05-16T09:00:00Z,South Africa,Gert Sibande,103,2000,FALSE,5,TRUE,2022
ZA,Alfred Nzo,Lebone,-25.5956514035919,27.1256297242044,SO2,South Africa,ppm,0.089169,2023-05-21T23:00:00Z,South Africa,Alfred Nzo,233.6628969325153,3000,FALSE,5,TRUE,2023
ZA,City of Johannesburg,Kliprivier,-26.420222,28.084139,NO2,South Africa,ppm,0.038837000000000003,2023-05-20T16:00:00Z,South Africa,City of Johannesburg,73.08345071574642,4000,FALSE,5,TRUE,2023
